date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,E1,E2,E3,E4
2006/1/31,1,38689,39124.7532,-435.7532019,-435.7532019,-536.4565869,15885.42919,8162.53287,-6438.306177,-11824.28221,-7302.366371,-6090.152343,-6930.555867,9552.044487,8838.358969,-2776.670678,0,-2006.111432,165.7943155,280.5129733,-7560.243523,-404.5182734,2049.667257,44593.54045,-3900.992535,3236.266704,-7173.398033,1622.444801,1029.044002,43875.63506,42589.99253,,,,,,,,,,,,,2590.584952,-9552.985852,6034.862413,113.311092,-7194.822114,639.3721973,46058.63463,-4150.615671,2825.42606,1278.213371,-5318.560386,-2470.083739,1603.276069,44921.3443,-4139.388341,3108.409305,-3075.494485,-2712.544846,2167.570026,28841.25775,13502.98271,999.9689833,,,,
2006/2/28,2,41460,41996.45659,-536.4565869,-493.6800649,-730.8575368,15924.47617,8168.349116,-6456.953882,-11835.22852,-7172.631149,-5978.60191,-6754.888356,9495.12612,8853.05854,-2915.94985,0,-4820.461952,3268.552711,406.8642734,-7941.090914,-406.9725123,2076.858673,44592.24436,-4540.448299,6943.89936,-7478.402679,1627.910864,1022.340281,43884.70047,46000.4483,,,,,,,,,,,,,-3030.672882,-83.19931708,4957.037251,190.6652495,-7294.899859,698.1101807,46022.94762,-4302.311714,5735.698309,1595.497453,-5637.402536,-2491.792686,1640.353201,44919.95797,-4285.690139,6205.006316,-3180.923043,-2818.467313,2176.834591,28857.46403,13503.97558,999.9274912,,,,
2006/3/31,3,51059,35173.57081,15885.42919,-612.7167592,-1026.818649,15932.22661,8237.094985,-6392.118166,-11913.90446,-6927.274107,-5788.855358,-6434.277618,9359.951201,8839.34706,-3137.9959,0,17110.83933,-3059.846529,-156.4202148,-7904.975501,-395.2015627,2099.106433,44590.90818,4417.385017,7681.401879,-7576.671256,1628.712828,1014.195149,43893.97638,46641.61498,,,,,,,,,,,,,42.60346079,8664.070471,2520.654674,310.1529532,-7218.792436,754.6008589,45985.7581,4560.933291,6814.283775,1260.241786,-5710.399812,-2458.92105,1674.435631,44918.42638,4574.895517,7170.353677,-3465.952327,-2802.154428,2202.321286,28872.0476,13504.77926,999.8846088,,,,
2006/4/30,4,47601,39438.46713,8162.53287,-851.3900715,-1425.494913,16064.61761,8221.639599,-6155.821718,-11841.86416,-6744.911188,-5792.486594,-6047.413782,9265.023077,8866.726293,-3351.852221,0,11684.24116,1249.820497,-669.8245939,-7477.165895,-370.2952911,2116.3999,44589.53251,4236.578976,4284.399004,-7452.758338,1624.720474,1004.600176,43903.45971,43364.42102,,,,,,,,,,,,,2219.469881,5792.160385,-674.9639422,474.9386574,-6966.985946,808.603345,45947.81437,4038.618088,4633.573628,221.2923493,-5543.921509,-2370.772064,1705.459253,44916.75026,4039.556376,4539.105393,-3943.538994,-2668.606034,2243.348796,28884.92401,13505.38971,999.8403511,,,,
2006/5/31,5,34785,41223.30618,-6438.306177,-1093.751964,-2022.441677,16201.8251,8193.849725,-5781.076936,-11697.07174,-6501.975291,-5759.760002,-5802.963022,9072.932873,8764.386435,-3451.783906,0,-5603.261549,2214.650175,-669.2569941,-6705.214187,-333.7501951,2128.759446,44588.11793,-3361.023128,-1259.788047,-7116.846894,1615.905212,993.6053891,43913.14747,38146.02313,,,,,,,,,,,,,-597.0132078,-1747.445603,-3769.359027,675.5644098,-6545.124832,859.8977809,45908.46205,-3707.318577,380.4166703,-1143.392276,-5161.54421,-2231.450083,1733.357671,44914.9308,-3720.988416,-315.0698855,-4447.473059,-2430.206259,2298.386105,28896.00304,13505.80368,999.7947332,,,,
2006/6/30,6,30895,42719.28221,-11824.28221,-1316.739286,-2589.592274,16533.94151,8053.004561,-5328.584598,-11507.92893,-6342.271977,-5879.932223,-5660.950069,8927.023192,8603.367393,-3456.987314,0,-12393.36371,1850.110805,95.02157213,-5661.657877,-287.0666784,2136.209351,44586.66504,-2826.474025,-6199.574985,-6585.526994,1602.266702,981.2725677,43923.03673,33721.47402,,,,,,,,,,,,,-1792.240983,-3139.320296,-5876.692719,890.8075051,-5963.917458,908.2598285,45868.03895,-3036.457811,-3733.655467,-2368.276879,-4591.072829,-2046.564097,1758.058355,44912.96873,-3073.553036,-4938.964644,-4768.206326,-2102.032173,2365.602667,28905.20198,13506.01844,999.74777,,,,
2006/7/31,7,35205,42507.36637,-7302.366371,-1418.227059,-3141.407884,16876.77186,8096.677053,-4969.579615,-11503.8238,-6187.584254,-5856.691257,-5755.374199,8758.508991,8411.409562,-3319.409992,0,-6686.979231,-870.5885412,1310.973813,-4425.222058,-231.7461215,2138.774873,44585.17441,2662.755995,-8066.959954,-5875.388708,1583.818242,967.6497995,43933.12463,32542.244,,,,,,,,,,,,,691.2139587,-1758.941858,-6358.98671,1090.723263,-5238.805172,953.4933239,45826.22828,2633.283626,-5504.830078,-2923.01387,-3868.692083,-1822.081032,1779.468419,44910.86502,2606.720618,-6863.356887,-4701.376101,-1701.456884,2443.102181,28912.44655,13506.03172,999.6994766,,,,
2006/8/31,8,37240,43330.15234,-6090.152343,-1585.134978,-3524.672715,17221.93895,8446.743723,-4765.574162,-11623.47743,-6266.894625,-5872.889528,-5977.700745,8790.083655,8338.858936,-3075.910179,0,-5980.028236,-2390.289565,2244.235739,-3074.631825,-169.2899047,2136.481267,44583.64663,1350.75194,-5561.505398,-5006.013112,1560.581891,952.776483,43943.4082,35889.24806,,,,,,,,,,,,,2022.242692,-3372.436847,-5040.99763,1241.478506,-4389.487502,995.3985879,45783.75023,1258.349375,-3677.979474,-2440.361374,-3041.898251,-1564.223509,1797.49173,44908.6215,1252.606884,-4622.188829,-4101.138487,-1248.740406,2528.982516,28917.66971,13505.8417,999.6498679,,,,
2006/9/30,9,38076,45006.55587,-6930.555867,-1732.445438,-3950.871589,17360.45514,9156.006032,-4791.707027,-11785.01262,-6329.813617,-5831.183301,-6332.957495,8650.519496,8378.105337,-2658.313939,0,-7157.34468,-2369.657838,2454.589302,-1688.612271,-101.1994085,2129.353791,44582.08229,-4517.30734,179.0964326,-4008.94531,1532.581132,936.6906148,43953.88447,42593.30734,,,,,,,,,,,,,-2646.586374,-1640.542131,-2282.623009,1311.208028,-3439.258653,1033.804594,45739.98541,-4644.737993,486.7246349,-1057.19216,-2147.856907,-1279.218822,1812.04149,44906.23976,-4623.067833,462.2621321,-3047.695054,-762.437384,2621.34367,28920.81037,13505.44707,999.5989589,,,,
2006/10/31,10,55525,45972.95551,9552.044487,-1862.577884,-4234.617993,17357.93732,10041.63266,-5005.417866,-11999.41364,-6468.556793,-5898.762585,-6600.712912,8520.929688,8601.783778,-2283.055051,0,8051.691421,-2322.019807,1966.909414,-340.8577738,-28.97601322,2117.4177,44580.48199,6560.977622,5498.92367,-2918.721411,1499.83945,919.430192,43964.55048,48964.02238,,,,,,,,,,,,,2342.197768,6432.136041,1125.193118,1275.930961,-2414.292574,1068.538764,45695.35319,6765.153573,3261.616183,963.1828369,-1218.425244,-973.2677105,1823.019388,44903.72097,6780.213734,4537.870515,-1678.228209,-260.4491913,2718.288512,28921.81183,13504.84691,999.5467648,,,,
2006/11/30,11,56107,47268.64103,8838.358969,-1917.245405,-4492.141232,17240.27161,10898.23836,-5290.105334,-12157.52259,-6569.570924,-6018.294118,-6834.589975,8297.482894,8948.165768,-1919.267747,0,9230.490323,-1229.134535,851.3375191,921.0145894,45.87890068,2100.698252,44578.8463,3229.965484,8308.09526,-1769.877526,1462.380328,901.033212,43975.40324,52877.03452,,,,,,,,,,,,,-2527.40153,7895.988577,4207.602743,1124.570648,-1342.801716,1099.46499,45649.62051,4236.07914,2773.53289,3303.592755,-285.6111071,-651.9591786,1830.29853,44901.06697,4246.625004,5530.515625,-152.1500567,239.3267432,2817.923022,28920.62051,13504.04067,999.4933004,,,,
2006/12/31,12,49853,52629.67068,-2776.670678,-1991.113471,-4627.319004,17082.977,11561.02936,-5508.81762,-12234.19494,-6752.122791,-6196.115694,-6996.95215,8238.605032,9283.078708,-1670.563225,0,-1577.179636,4584.35956,-808.9753042,2076.025947,121.8639528,2079.220702,44577.17582,-5005.156905,9166.901955,-596.9497657,1420.227251,881.5376725,43986.43979,54858.15691,,,,,,,,,,,,,6.027442235,-3599.099692,6108.12046,862.1072789,-254.1368069,1126.446157,45603.55018,-2662.608993,104.3387124,5384.152463,615.951078,-320.8450659,1833.732549,44898.27926,-2654.234991,4182.726706,1260.282025,718.9692183,2918.355981,28917.18499,13503.02815,999.4385807,,,,
2007/1/31,13,49015,49508.68006,-493.6800649,,,,,,,,,,,,,,,2346.011007,-2763.601076,3100.310926,197.4777627,2053.010307,44575.47113,-6464.350512,8680.835555,566.4725309,1373.403703,860.9815718,43997.65715,55479.35051,,,,,,,,,,,,,6035.820676,-11398.21148,6338.977027,510.3588416,822.1783446,1149.379108,45556.50406,-3220.235833,-2325.956744,6370.53218,1448.049764,14.06062121,1833.190736,44895.35928,-3197.020034,2401.127509,2220.890767,1160.555813,3017.699267,28911.4559,13501.80942,999.3826209,,,,
2007/2/28,14,41763,42493.85754,-730.8575368,,,,,,,,,,,,,,,-4192.288234,-4148.692241,3967.793917,271.2189501,2022.092324,44573.73282,-13410.45036,7311.314735,1691.747204,1321.933166,839.4029084,44009.05235,55173.45036,,,,,,,,,,,,,-9305.244473,-2469.342566,4897.294489,105.9511443,1857.360077,1168.161444,45508.84007,-11612.78159,-1498.70448,5625.845598,2181.338468,346.4381248,1828.554293,44892.30958,-11600.75102,2824.894521,2469.501326,1548.521275,3114.068373,28903.38589,13500.38485,999.3254368,,,,
2007/3/31,15,66356,50431.52383,15924.47617,,,,,,,,,,,,,,,3180.485886,-4307.239802,4658.23812,341.5861345,1986.492008,44571.96148,12401.00249,5095.877031,2755.819273,1265.839127,816.8396812,44020.6224,53954.99751,,,,,,,,,,,,,5780.589504,9190.337848,2222.036812,-304.1312391,2824.275286,1182.733504,45460.26285,11065.77719,1855.165298,3243.424405,2812.484896,670.2848456,1819.730124,44889.13324,11061.12715,4721.929914,2103.477941,1876.699651,3205.587628,28892.92936,13498.75496,999.2670483,,,,
2007/4/30,16,54491,46322.65088,8168.349116,,,,,,,,,,,,,,,-1859.372316,-3916.441608,5174.994554,407.0779355,1946.234618,44570.1577,3731.086949,992.2798963,3736.793856,1205.145067,793.3298892,44032.36434,50759.91305,,,,,,,,,,,,,-729.2677425,6557.869284,-971.2326392,-669.0928479,3698.256912,1193.036996,45411.51562,720.5274644,3047.402349,-294.3493161,3345.37241,979.5762692,1806.637234,44885.83359,711.239134,3624.359974,1348.751566,2143.872927,3290.421985,28880.04233,13496.92045,999.2074771,,,,
2007/5/31,17,43362,49818.95388,-6456.953882,,,,,,,,,,,,,,,755.9438486,-3401.03382,5528.183417,466.1929726,1901.345409,44568.32205,-3131.872978,-4071.964293,4612.776074,1139.874472,768.9115315,44044.27519,46493.87298,,,,,,,,,,,,,124.4679165,-2938.029103,-3901.582219,-941.74413,4457.864981,1199.051088,45361.99913,-5893.705134,1803.138289,-4271.148262,3783.65222,1268.466953,1789.181948,44882.41399,-5915.05703,-265.9811304,459.3926085,2349.403483,3366.844296,28864.68219,13494.88226,999.1467468,,,,
2007/6/30,18,38034,49869.22852,-11835.22852,,,,,,,,,,,,,,,-239.5068742,-2555.156747,5728.157497,517.4193962,1851.860106,44566.45514,-4622.599305,-8575.297154,5361.871047,1070.050825,743.6226075,44056.35198,42656.59931,,,,,,,,,,,,,-1911.302359,-4663.181965,-5903.999088,-1085.939971,5085.494212,1200.757359,45312.15141,-5693.328268,-950.8076027,-7625.601797,4126.063807,1531.52261,1767.273873,44878.87738,-5706.751454,-5252.694964,-267.9925764,2492.468777,3433.312749,28846.80742,13492.64163,999.0848829,,,,
2007/7/31,19,43924,51096.63115,-7172.631149,,,,,,,,,,,,,,,260.9221578,-1871.177934,5785.269587,559.1810372,1797.878756,44564.55755,3031.46913,-10851.44348,5962.183895,995.6976102,717.5011165,44068.59172,40892.53087,,,,,,,,,,,,,1184.393732,-1664.779687,-6540.881938,-1082.572134,5567.874502,1198.18332,45261.75319,3987.2091,-3593.518169,-9218.540191,4369.410952,1763.384673,1740.826383,44875.22725,3964.766664,-8891.066846,-526.7850096,2572.168648,3488.538202,28826.37778,13490.2001,999.0219123,,,,
2007/8/31,20,45846,51824.60191,-5978.60191,,,,,,,,,,,,,,,539.8837613,-1317.187312,5709.531626,590.1398808,1739.604096,44562.62986,2765.415437,-9004.209377,6396.379117,916.8383116,690.5850582,44080.99145,43080.58456,,,,,,,,,,,,,1965.36825,-1836.059506,-5649.262604,-933.3620042,5896.37332,1191.357946,45211.57736,4024.332267,-3041.013825,-8186.796293,4509.461328,1958.793695,1709.755133,44871.46769,4036.032204,-7513.117356,-87.38480742,2588.618168,3531.577436,28803.35509,13487.55954,998.9578617,,,,
2007/9/30,21,44284,51038.88836,-6754.888356,,,,,,,,,,,,,,,-708.1221896,-610.8144489,5509.592165,610.2890341,1677.271138,44560.67266,-4814.570273,-3156.745493,6665.358731,833.496413,662.9124325,44093.54819,49098.57027,,,,,,,,,,,,,-4129.916465,22.71534675,-3355.737029,-661.5290114,6067.160549,1180.346988,45160.98834,-5135.525505,1174.564371,-4959.650411,4550.495997,2112.538346,1673.974602,44867.6026,-5126.892523,-921.8611914,953.6006399,2544.723251,3561.959263,28777.70589,13484.72222,998.8927582,,,,
2007/10/31,22,62480,52984.87388,9495.12612,,,,,,,,,,,,,,,576.3953061,424.9557804,5193.758905,619.9615662,1611.115777,44558.68655,7183.684962,3035.255309,6774.582881,745.6966512,634.52124,44106.25896,55296.31504,,,,,,,,,,,,,3602.571032,6911.484899,-81.52138942,-309.2281392,6081.218478,1165.21783,45110.34309,5959.199497,3729.609599,-424.561482,4498.426086,2220.298771,1633.3915,44863.63603,5985.321856,4900.203139,2340.883078,2444.939894,3579.640929,28749.40671,13481.69086,998.8266286,,,,
2007/11/30,23,61257,52403.94146,8853.05854,,,,,,,,,,,,,,,-290.0387209,1206.104082,4770.339546,619.4989579,1541.365498,44556.6721,1971.828907,7177.62536,6729.391866,653.5836084,605.4494817,44119.12078,59285.17109,,,,,,,,,,,,,-940.3815128,6503.405526,3476.37205,68.05949518,5944.185846,1146.083837,45059.34033,2611.915372,1201.25237,4366.84201,4348.899362,2280.59587,1587.921749,44859.57327,2602.68362,5801.477764,3781.126478,2294.470371,3584.881947,28718.4498,13478.46887,998.7594999,,,,
2007/12/31,24,50356,53271.94985,-2915.94985,,,,,,,,,,,,,,,252.1372518,2140.050428,4247.64179,609.2528678,1468.237606,44554.62991,-11275.53586,9831.242179,6534.66539,557.7624603,575.7351587,44132.13067,61631.53586,,,,,,,,,,,,,-2396.034755,-5886.940482,6431.735205,409.441806,5666.037019,1123.05917,45008.71629,-7620.836854,-2980.533609,8180.266681,4088.85205,2295.273677,1537.558537,44855.41952,-7698.799708,4305.977057,4912.79929,2098.520945,3578.17208,28684.85079,13475.06053,998.691399,,,,
2008/1/31,25,52452,53064.71676,-612.7167592,,,,,,,,,,,,,,,-706.7136526,3603.372154,3633.973338,589.577331,1391.947033,44552.56056,-10683.04242,11790.21894,6195.168325,458.9532176,545.4162724,44145.28567,63135.04242,,,,,,,,,,,,,4617.778801,-12038.57912,7900.440125,657.6313055,5260.584766,1096.292344,44957.86133,-5905.329366,-3737.17092,9777.542648,3715.630361,2267.683801,1482.464683,44851.17879,-5998.104431,4536.857934,5373.265744,1862.147071,3560.123931,28648.65739,13471.47122,998.6223528,,,,
2008/2/29,26,53836,54862.81865,-1026.818649,,,,,,,,,,,,,,,1242.085166,4253.812162,2942.921592,560.8258961,1312.709195,44550.46464,-9151.249617,12236.8324,5719.42771,357.875891,514.5308235,44158.58279,62987.24962,,,,,,,,,,,,,-4671.123259,-257.6223732,7278.812889,767.8805658,4744.960828,1065.931765,44907.20536,-6878.63137,176.2459091,8837.095099,3230.267257,2201.282727,1422.886369,44846.85401,-6891.570522,7579.967528,4947.482482,1591.169264,3531.371597,28609.95168,13467.70772,998.5523882,,,,
2008/3/31,27,70102,54169.77339,15932.22661,,,,,,,,,,,,,,,2275.98599,3383.597472,2207.755569,523.3519656,1230.739654,44548.34274,10130.85633,9931.022568,5129.734746,255.2504911,483.1168124,44172.01905,59971.14367,,,,,,,,,,,,,3151.163106,11690.74552,4517.383781,715.2229368,4138.913397,1032.168428,44856.52215,9031.444827,4243.545335,5872.250276,2653.460244,2099.752452,1359.099796,44842.44707,9100.716374,9440.679387,3741.37449,1294.99974,3492.53377,28568.84393,13463.77804,998.4815322,,,,
2008/4/30,28,54453,46215.90501,8237.094985,,,,,,,,,,,,,,,-2723.77686,1308.448314,1461.275196,477.508942,1146.253973,44546.19545,973.1989601,4244.195533,4447.004751,151.7970288,451.212239,44185.59149,53479.80104,,,,,,,,,,,,,-1539.420887,5972.865453,254.6326056,499.1178366,3464.110694,995.1904675,44806.58213,-1357.217301,4027.490484,1674.803691,2011.636779,1966.945805,1291.381322,44837.95922,-1292.738762,6305.72725,2033.799521,983.9328579,3444.224388,28525.46179,13459.69087,998.4098116,,,,
2008/5/31,29,39388,45780.11817,-6392.118166,,,,,,,,,,,,,,,-174.8867794,-806.9795398,734.8432007,423.6502277,1059.467715,44544.02335,-5916.457672,-3052.798592,3690.86853,48.23551459,418.8551027,44199.29712,45304.45767,,,,,,,,,,,,,784.5994079,-5698.809539,-4297.408941,144.3957717,2743.264097,955.2134934,44756.74803,-7731.311391,716.4362446,-2791.604889,1334.008872,1807.067617,1220.011946,44833.3916,-7759.563986,-22.63181872,182.0104661,667.8780848,3387.072521,28479.94245,13455.45511,998.3372534,,,,
2008/6/30,30,33245,45158.90446,-11913.90446,,,,,,,,,,,,,,,1657.079949,-2432.550498,59.82231348,362.1292252,970.5964426,44541.82703,-4684.216306,-9496.242908,2880.956888,-54.71404065,386.0834032,44213.13296,37929.21631,,,,,,,,,,,,,-646.9031282,-5703.844106,-7722.149123,-301.4311791,1999.444036,912.4483258,44707.37974,-5428.655965,-3099.173899,-6476.191941,650.4520484,1624.543595,1145.280907,44828.74525,-5542.362,-6333.126835,-1441.993036,356.1470439,3321.741596,28432.43037,13451.07975,998.2638846,,,,
2008/7/31,31,37114,44041.27411,-6927.274107,,,,,,,,,,,,,,,2131.625356,-3270.688641,-532.4247366,293.299337,879.8557187,44539.60708,3049.898303,-12396.4985,2036.900629,-156.3316263,352.9351404,44227.09605,34064.1017,,,,,,,,,,,,,203.5343023,-195.6059803,-8900.030432,-774.5187907,1255.222599,867.1418846,44658.18028,3082.529411,-4909.562445,-8363.419668,-10.45694141,1423.410638,1067.478663,44824.02034,2933.295312,-9492.755553,-2465.645313,57.50535976,3248.939056,28383.07567,13446.57375,998.1897319,,,,
2008/8/31,32,37501,43289.85536,-5788.855358,,,,,,,,,,,,,,,1889.089659,-3127.767225,-1013.806227,217.5139655,787.4611058,44537.36408,1918.04795,-9899.286037,1177.503595,-255.8972316,319.448314,44241.18341,35582.95205,,,,,,,,,,,,,905.6197191,-726.7153043,-7435.89402,-1203.548537,532.0441979,819.5340921,44609.89257,1915.138678,-3070.048914,-7738.988635,-618.2305437,1207.016875,986.8951847,44819.21736,1827.722712,-7429.26234,-2624.379408,-219.6770313,3169.421375,28332.03211,13441.94612,998.1148225,,,,
2008/9/30,33,37232,43666.27762,-6434.277618,,,,,,,,,,,,,,,1625.816664,-1951.3222,-1372.070155,135.1265133,693.6281667,44535.09863,-4113.231608,-3161.392307,318.2617803,-352.6908459,285.6609237,44255.39206,41345.23161,,,,,,,,,,,,,-2141.883249,-468.0096296,-3819.280317,-1520.082703,-150.5724023,769.8847423,44561.91046,-4247.313983,1148.059158,-5217.535043,-1147.837797,978.4490498,903.8410252,44814.33759,-4221.276711,-1782.887414,-2089.824227,-468.1375212,3083.987592,28279.45579,13437.20586,998.0391831,,,,
